Name;Type;StartDistAlong;HorizontalLength;StartHeight;StartGradient;EndGradient;Radius;Type
V1;IfcAlignmentVerticalSegment;135,557;10,8424694551669;125,687614;0,0341613100938614;0,0341613100938614;0;CONSTANTGRADIENT
V2;IfcAlignmentVerticalSegment;146,399469455167;18,112282610652;126,05800696124;0,0341613100938614;0,0341613100938614;-1300;CIRCULARARC
V3;IfcAlignmentVerticalSegment;164,511752065819;40,8330580844944;126,550404440385;0,0202129972966548;0,0202129972966548;0;CONSTANTGRADIENT
V4;IfcAlignmentVerticalSegment;205,344810150313;39,033681330639;127,37576293306;0,0202129972966548;0,0202129972966548;-1300;CIRCULARARC
V5;IfcAlignmentVerticalSegment;244,378491480952;50,1760735190479;127,578604224343;-0,00981751240776929;-0,00981751240776929;0;CONSTANTGRADIENT
V6;IfcAlignmentVerticalSegment;294,554565;11,522986;127,086;0;0;0;CONSTANTGRADIENT
V7;IfcAlignmentVerticalSegment;306,077551;192,512689171019;127,086;-0,00352981070589252;-0,00352981070589252;0;CONSTANTGRADIENT
V8;IfcAlignmentVerticalSegment;498,590240171019;15,2752896431409;126,406466648677;-0,00352981070589252;-0,00352981070589252;-5000;CIRCULARARC
V9;IfcAlignmentVerticalSegment;513,865529814159;78,3592658459091;126,329213578221;-0,0065849894096037;-0,0065849894096037;0;CONSTANTGRADIENT
V10;IfcAlignmentVerticalSegment;592,224795660069;10,4103422623946;125,813218642574;-0,0065849894096037;-0,0065849894096037;1300;CIRCULARARC
V11;IfcAlignmentVerticalSegment;602,635137922463;13,8073550775368;125,786350609637;0,00142311038228749;0,00142311038228749;0;CONSTANTGRADIENT
